lid,oid,primary_loc,location_name,comments,address,address2,city,state,zipcode,county,country,match_addr,side,ref_id,geographic_location
1735,10874,f,Franklin Mint Federal Credit Union 19,\N,2701 Dekalb Pike,,Norristown,PA,19401,\N,USA,\N,\N,\N,0101000020E61000006DC669882AD452C0D7F84CF6CF114440
1802,10898,f,Student Federal Credit Union of the University of Pennsylvania 2,\N,3601 Walnut Street,,Philadelphia,PA,19104,\N,USA,\N,\N,\N,0101000020E610000066868DB27ECC52C07A6EA12B11FA4340
84880,72442,t,Main,\N,1654 Terry Dr,\N,Joliet,IL,60436,Will,USA,\N,\N,\N,0101000020E61000007BBFD18E1B0956C0740CC85EEFBE4440
1875,10923,f,Lancaster Farm Fresh Cooperative 22,\N,3400 Spruce Street,,Philadelphia,PA,,\N,USA,\N,\N,\N,0101000020E6100000CB0EF10F5BCC52C00820B58993F94340
1947,10961,f,Fairless Federal Credit Union 2,\N,1900 South Pennsylvania Avenue,,Morrisville,PA,19067,\N,USA,\N,\N,\N,0101000020E6100000103B53E8BCB052C0EB8B84B69C174440
1949,10963,t,First Pennsylvania Township Employees Federal Credit Union,\N,175 West Valley Forge Road,,King of Prussia,PA,19406,\N,USA,\N,\N,\N,0101000020E6100000AE7FD767CED752C09B3DD00A0C0D4440
1950,10964,t,Freedom Federal Credit Union 1,\N,1440 Old York Road,,Abington,PA,19001,\N,USA,\N,\N,\N,0101000020E6100000698D412784C752C08600E0D8B30F4440
1952,10964,f,Freedom Federal Credit Union 3,\N,10400 Drummond Road,,Philadelphia,PA,19154,\N,USA,\N,\N,\N,0101000020E61000006765FB90B7BF52C006F52D73BA0A4440
1953,10964,f,Freedom Federal Credit Union 4,\N,636 East Main Street,,Lansdale,PA,19446,\N,USA,\N,\N,\N,0101000020E61000000E83F92B64D152C01DE56036011E4440
1954,10964,f,Freedom Federal Credit Union 5,\N,Cottman & Bustleton Avenues,,Warminster,PA,19149,\N,USA,\N,\N,\N,0101000020E610000029B3412619C452C05340DAFF00054440
1956,10966,t,Greater Philadelphia Urban Affairs Coalition,\N,1207 Chestnut Street,7th Floor,Philadelphia,PA,19107,\N,USA,\N,\N,\N,0101000020E61000007DE9EDCF45CA52C07E8AE3C0ABF94340
2053,11006,t,,\N,n/a,,,,,\N,USA,\N,\N,\N,\N
2021,10988,t,Mount Zion AME Church Federal Credit Union,\N,34 Pennington Avenue,,Trenton,NJ,8618,\N,USA,\N,\N,\N,0101000020E610000057AF22A303B152C0E90E62670A1D4440
2023,10990,t,Neighborhood Foods CSA 1 (farm),\N,4548 Market Street,,Philadelphia,PA,19139,\N,USA,\N,\N,\N,0101000020E610000086C613419CCD52C08E226B0DA5FA4340
2118,11039,t,Upper Bucks County Freecycle,\N,Bucks County,,,PA,,\N,USA,\N,\N,\N,\N
2091,11027,t,The Village of Arts and Humanities,\N,2544 Germantown Avenue,,Philadelphia,PA,19133,\N,USA,\N,\N,\N,0101000020E61000004DF6CFD380C952C0B7291E17D5FE4340
2093,11029,t,Torbert Farm,\N,1396 Oxford Valley Road,,Yardley,PA,19067,\N,USA,\N,\N,\N,0101000020E61000006C06B8205BB752C0C286A757CA1A4440
2094,11030,t,Trenton New Jersey Firemen Federal Credit Union,\N,244 Perry Street,,Trenton,NJ,8618,\N,USA,\N,\N,\N,0101000020E6100000B9A5D590B8B052C06B9DB81CAF1C4440
2096,11032,t,TruMark Financial Credit Union 1,\N,1811 JFK Boulevard,,Philadelphia,PA,19103,\N,USA,\N,\N,\N,0101000020E61000009D685721E5CA52C07383A10E2BFA4340
